ID	ALIGNMENT	COGID	CONCEPT	COUNTERPART	DOCULECT	GLOSA 1 PORT	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	IPA	MODIFIED	PET	PWT	TOKENS
1	g o	1	feminine	go	BAS	GLOSA 1 PORT	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	go	FALSE	PET	PWT	g o
2	g o	1	feminine	go	DES	GLOSA 1 PORT	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	go	FALSE	PET	PWT	g o
3	- o	1	feminine	o	KAR	GLOSA 1 PORT	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	o	FALSE	PET	PWT	o
4	- o	1	feminine	o	KOR	GLOSA 1 PORT	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	o	FALSE	PET	PWT	o
5	k o	1	feminine	ko	KUB	GLOSA 1 PORT	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ko	FALSE	PET	PWT	k o
6	- o	1	feminine	o	MAI	GLOSA 1 PORT	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	o	FALSE	PET	PWT	o
7	k o	1	feminine	-ko	PIR	GLOSA 1 PORT	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ko	FALSE	PET	PWT	k o
8	- o	1	feminine	o	SEK	GLOSA 1 PORT	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	o	FALSE	PET	PWT	o
9	g o	1	feminine	go, ʔkho	SIO	GLOSA 1 PORT	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	go	FALSE	PET	PWT	g o
10	g o	1	feminine	go	TUK	GLOSA 1 PORT	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	go	FALSE	PET	PWT	g o
11	k o	1	feminine	-ko	WAN	GLOSA 1 PORT	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ko	FALSE	PET	PWT	k o
12	kʔ o	1	feminine	-	*PT	-	-	-	-	-	*-kʔo	TRUE	-	-	kʔ o
13	b ɨ	2	non.3rd.animate.person	bɨ	BAS	GLOSA 1 PORT	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	bɨ	FALSE	PET	PWT	b ɨ
14	b ɨ	2	non.3rd.animate.person	bɨ	DES	GLOSA 1 PORT	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	bɨ	FALSE	PET	PWT	b ɨ
15	w ɨ	2	non.3rd.animate.person	wɨ	KUB	GLOSA 1 PORT	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	wɨ	FALSE	PET	PWT	w ɨ
16	w ɨ	2	non.3rd.animate.person	wɨ	SEK	GLOSA 1 PORT	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	wɨ	FALSE	PET	PWT	w ɨ
17	w̃ ɨ̃	2	non.3rd.animate.person	~wɨ	SIO	GLOSA 1 PORT	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~wɨ	FALSE	PET	PWT	w̃ ɨ̃
18	p ɨ	2	non.3rd.animate.person	-pɨ	TUK	GLOSA 1 PORT	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	pɨ	FALSE	PET	PWT	p ɨ
19	pʔ ɨ	2	non.3rd.animate.person	-	*PT	-	-	-	-	-	*-pʔɨ	TRUE	-	-	pʔ ɨ
20	m ĩ	3	3rd.person.masculine	~bi	BAS	3a ps masc I	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~bi	FALSE	PET	PWT	m ĩ
21	m ĩ	3	3rd.person.masculine	~bi	DES	3a ps masc I	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~bi	FALSE	PET	PWT	m ĩ
22	b i	3	3rd.person.masculine	bi	KUB	3a ps masc I	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	bi	FALSE	PET	PWT	b i
23	p i	3	3rd.person.masculine	pi, hi	SEK	3a ps masc I	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	pi	FALSE	PET	PWT	p i
24	m ĩ	3	3rd.person.masculine	-~bi	TUK	3a ps masc I	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~bi	FALSE	PET	PWT	m ĩ
25	p i	3	3rd.person.masculine	-	*PT	-	-	-	-	-	*-pi	FALSE	-	-	p i
26	r e	4	Case: non-nominatvie	re	BAS	Caso: Não-nominativo	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	re	FALSE	PET	PWT	r e
27	d e	4	Case: non-nominatvie	de	DES	Caso: Não-nominativo	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	de	FALSE	PET	PWT	d e
28	r e	4	Case: non-nominatvie	-re	KAR	Caso: Não-nominativo	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	re	FALSE	PET	PWT	r e
29	r e	4	Case: non-nominatvie	re, ʔthe	KOR	Caso: Não-nominativo	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	re	FALSE	PET	PWT	r e
30	d e	4	Case: non-nominatvie	de	KUB	Caso: Não-nominativo	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	de	FALSE	PET	PWT	d e
31	d e	4	Case: non-nominatvie	de	MAI	Caso: Não-nominativo	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	de	FALSE	PET	PWT	d e
32	r e	4	Case: non-nominatvie	-re	PIR	Caso: Não-nominativo	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	re	FALSE	PET	PWT	r e
33	r e	4	Case: non-nominatvie	re, te	SEK	Caso: Não-nominativo	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	re	FALSE	PET	PWT	r e
34	r e	4	Case: non-nominatvie	re,  ʔthe	SIO	Caso: Não-nominativo	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	re	FALSE	PET	PWT	r e
35	r e	4	Case: non-nominatvie	re	TAN	Caso: Não-nominativo	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	re	FALSE	PET	PWT	r e
36	r e	4	Case: non-nominatvie	-re	TUK	Caso: Não-nominativo	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	re	FALSE	PET	PWT	r e
37	r e	4	Case: non-nominatvie	-re	WAN	Caso: Não-nominativo	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	re	FALSE	PET	PWT	r e
38	tʔ e	4	Case: non-nominatvie	-	*PT	-	-	-	-	-	*-tʔe	TRUE	-	-	tʔ e
39	d o	5	locative	do	BAS	locativo	GLOSA 2 ENGL	parto-of-a-whole	GLOSA 3 PORT	GLOSS 3 ENGL	do	FALSE	PET	PWT	d o
40	d o	5	locative	do	DES	locativo	GLOSA 2 ENGL	parto-of-a-whole	GLOSA 3 PORT	GLOSS 3 ENGL	do	FALSE	PET	PWT	d o
41	d o	5	locative	-do	KAR	locativo	GLOSA 2 ENGL	parto-of-a-whole	GLOSA 3 PORT	GLOSS 3 ENGL	do	FALSE	PET	PWT	d o
42	n õ	5	locative	~do	KUB	locativo	GLOSA 2 ENGL	parto-of-a-whole	GLOSA 3 PORT	GLOSS 3 ENGL	~do	FALSE	PET	PWT	n õ
43	d o	5	locative	do	MAI	locativo	GLOSA 2 ENGL	parto-of-a-whole	GLOSA 3 PORT	GLOSS 3 ENGL	do	FALSE	PET	PWT	d o
44	d o	5	locative	-do	PIR	locativo	GLOSA 2 ENGL	parto-of-a-whole	GLOSA 3 PORT	GLOSS 3 ENGL	do	FALSE	PET	PWT	d o
45	r o	5	locative	ro, to	SEK	locativo	GLOSA 2 ENGL	parto-of-a-whole	GLOSA 3 PORT	GLOSS 3 ENGL	ro	FALSE	PET	PWT	r o
46	r o	5	locative	ro, ʔtho	SIO	locativo	GLOSA 2 ENGL	parto-of-a-whole	GLOSA 3 PORT	GLOSS 3 ENGL	ro	FALSE	PET	PWT	r o
47	d o	5	locative	-do	TUK	locativo	GLOSA 2 ENGL	parto-of-a-whole	GLOSA 3 PORT	GLOSS 3 ENGL	do	FALSE	PET	PWT	d o
48	d o	5	locative	-do	WAN	locativo	GLOSA 2 ENGL	parto-of-a-whole	GLOSA 3 PORT	GLOSS 3 ENGL	do	FALSE	PET	PWT	d o
49	tʔ o	5	locative	-	*PT	-	-	-	-	-	*-tʔo	TRUE	-	-	tʔ o
50	- ã ɲ ã	6	snake	~aja	BAS	cobra	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~aja	FALSE	PET	PWT	ã ɲ ã
51	- ã ɲ ã	6	snake	~aja	DES	cobra	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~aja	FALSE	PET	PWT	ã ɲ ã
52	- ã ɲ ã	6	snake	~aja	KAR	cobra	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~aja	FALSE	PET	PWT	ã ɲ ã
53	- ã j ã	6	snake	ãjã	KOR	cobra	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ãjã	FALSE	PET	PWT	ã j ã
54	- ã ɲ ã	6	snake	~aja	KUB	cobra	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~aja	FALSE	PET	PWT	ã ɲ ã
55	h a j a	6	snake	haja	KUE	cobra	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	haja	FALSE	PET	PWT	h a j a
