ID	DOCULECT	CONCEPT	COUNTERPART	IPA	PROTO	COGID	GLOSA 1 PORT	GLOSA 2 PORT	GLOSA 2 ENGL	GLOSA 3 PORT	GLOSS 3 ENGL	PWT	PET
1	SIO	feminine	go, ʔkho	go	*-kʔo	1	-	-	-	-	-	-	-
2	SEK	feminine	o	o	*-kʔo	1	-	-	-	-	-	-	-
3	KOR	feminine	o	o	*-kʔo	1	-	-	-	-	-	-	-
4	MAL	feminine	o	o	*-kʔo	1	-	-	-	-	-	-	-
5	KUB	feminine	ko	ko	*-kʔo	1	-	-	-	-	-	-	-
6	DES	feminine	go	go	*-kʔo	1	-	-	-	-	-	-	-
7	BAS	feminine	go	go	*-kʔo	1	-	-	-	-	-	-	-
8	TUK	feminine	go	go	*-kʔo	1	-	-	-	-	-	-	-
9	KAR	feminine	o	o	*-kʔo	1	-	-	-	-	-	-	-
10	WAN	feminine	-ko	ko	*-kʔo	1	-	-	-	-	-	-	-
11	PLR	feminine	-ko	ko	*-kʔo	1	-	-	-	-	-	-	-
12	SIO	non.3rd.animate.person	~wɨ	~wɨ	*-pʔɨ	2	-	-	-	-	-	-	-
13	SEK	non.3rd.animate.person	wɨ	wɨ	*-pʔɨ	2	-	-	-	-	-	-	-
14	KUB	non.3rd.animate.person	wɨ	wɨ	*-pʔɨ	2	-	-	-	-	-	-	-
15	DES	non.3rd.animate.person	bɨ	bɨ	*-pʔɨ	2	-	-	-	-	-	-	-
16	BAS	non.3rd.animate.person	bɨ	bɨ	*-pʔɨ	2	-	-	-	-	-	-	-
17	TUK	non.3rd.animate.person	-pɨ	pɨ	*-pʔɨ	2	-	-	-	-	-	-	-
18	SEK	3rd.person.masculine	pi, hi	pi	*-pi	3	3a ps masc I	-	-	-	-	-	-
19	KUB	3rd.person.masculine	bi	bi	*-pi	3	3a ps masc I	-	-	-	-	-	-
20	DES	3rd.person.masculine	~bi	~bi	*-pi	3	3a ps masc I	-	-	-	-	-	-
21	BAS	3rd.person.masculine	~bi	~bi	*-pi	3	3a ps masc I	-	-	-	-	-	-
22	TUK	3rd.person.masculine	-~bi	~bi	*-pi	3	3a ps masc I	-	-	-	-	-	-
23	SIO	Case: non-nominatvie	re,  ʔthe	re	*-tʔe	4	Caso: Não-nominativo	-	-	-	-	-	-
24	SEK	Case: non-nominatvie	re, te	re	*-tʔe	4	Caso: Não-nominativo	-	-	-	-	-	-
25	KOR	Case: non-nominatvie	re, ʔthe	re	*-tʔe	4	Caso: Não-nominativo	-	-	-	-	-	-
26	MAL	Case: non-nominatvie	de	de	*-tʔe	4	Caso: Não-nominativo	-	-	-	-	-	-
27	TAN	Case: non-nominatvie	re	re	*-tʔe	4	Caso: Não-nominativo	-	-	-	-	-	-
28	KUB	Case: non-nominatvie	de	de	*-tʔe	4	Caso: Não-nominativo	-	-	-	-	-	-
